brand,PV,K232,K268,DeltaK,FFA,Stigma,Poly,PPP,DAGs,fail,failrate
Filippo Berio,12.00,2.18,0.14,0.003,0.37,0.03,212.00,12.00,40.70,0,0.000
Bertolli,9.00,2.24,0.16,0.003,0.38,0.03,266.00,14.30,39.20,1,0.111
Pompeian,13.00,2.60,0.16,0.003,0.51,0.03,111.00,10.50,31.50,2,0.222
Colavita,11.00,2.13,0.15,0.003,0.57,0.03,189.00,12.80,36.70,1,0.111
Star,11.00,2.38,0.14,0.003,0.47,0.03,164.00,17.70,33.70,2,0.222
Carapelli,10.00,2.43,0.21,0.003,0.48,0.03,208.00,29.30,29.10,2,0.222
Newmans Own Organics,9.00,2.49,0.17,0.003,0.42,0.03,176.00,14.00,35.50,1,0.111
Mezzetta,10.00,2.33,0.18,0.003,0.52,0.08,133.00,16.60,31.00,2,0.222
Mazola,12.00,2.70,0.19,0.003,0.65,0.03,159.00,21.70,30.10,3,0.333
Rachael Ray,9.00,2.43,0.19,0.003,0.41,0.03,239.00,12.20,36.30,1,0.111
Kirkland Organic,8.00,2.13,0.16,0.003,0.26,0.03,298.00,8.80,57.40,0,0.000
Great Value 100%,11.00,2.23,0.13,0.003,0.33,0.05,163.00,12.70,44.60,0,0.000
Safeway Select,11.00,2.19,0.15,0.003,0.58,0.03,213.00,6.00,45.50,0,0.000
365 100% Italian,10.00,1.90,0.15,0.003,0.28,0.03,112.00,40.80,31.20,2,0.222
Corto Olive,9.00,1.74,0.10,0.003,0.20,0.03,77.00,8.10,59.10,0,0.000
California Olive Ranch,9.00,2.19,0.13,0.003,0.22,0.03,102.00,11.90,52.90,0,0.000
McEvoy Ranch Organic,7.00,2.12,0.13,0.003,0.16,0.03,370.00,4.80,83.10,0,0.000
Bariani,8.00,2.16,0.17,0.003,0.38,0.03,381.00,7.40,64.50,0,0.000
Lucero (Ascolano),13.00,2.08,0.15,0.003,0.30,0.03,238.00,9.40,54.60,0,0.000